bus,fueltype,c2,c1,c0,pmax,ess,canidate,gen_id
17,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,168
50,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,169
70,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,170
400,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,171
315,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,172
81,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,173
473,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,174
57,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,175
431,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,176
24,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,177
66,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,178
51,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,179
83,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,180
393,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,181
483,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,182
274,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,183
22,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,184
56,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,185
430,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,186
456,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,187
488,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,188
386,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,189
391,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,190
418,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,191
113,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,192
376,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,193
353,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,194
350,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,195
31,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,196
